path_id,index,x,y,z
3,39,835.4081,260.2348,187.2233
3,40,834.4481,248.2735,187.3007
3,41,834.0105,236.2816,187.3479
3,42,830.2687,224.8799,187.3119
3,43,825.883,213.7104,187.2201
3,44,828.1356,201.9241,187.1318
3,45,838.4119,195.7276,187.1106
3,46,850.4001,195.1953,187.1094
3,47,861.9803,198.3416,187.1094
3,48,873.3593,202.1518,187.1094
3,49,885.1761,204.2411,187.1097
3,50,897.1754,204.1189,187.1309
3,51,900.3216,215.6955,187.4216
3,52,895.5835,226.7194,187.5769
3,53,893.2217,238.4845,187.6426
3,54,896.3896,250.0585,187.557
3,55,902.4175,260.433,187.3777
3,56,906.5507,271.6971,187.1874
3,57,902.4173,282.9625,187.1143
3,58,894.5906,292.0588,187.1094
3,59,886.1892,300.6271,187.1094
3,60,878.1345,309.5223,187.1094
3,61,871.1217,319.2598,187.1094
3,62,859.4983,322.2424,187.1094
3,63,848.3565,317.7858,187.1094
3,64,837.1909,313.3893,187.1097
3,65,825.3475,311.4599,187.2092
3,66,816.4242,318.9593,190.0611
3,67,816.465,329.37,196.0291
3,68,813.5053,340.505,199.3832
3,69,801.5876,339.3698,200.2081
3,70,789.5894,339.4791,200.3857
3,71,787.4985,351.2955,200.3579
3,72,793.8228,361.4933,200.2617
3,73,804.1977,363.0103,206.0978
3,74,813.4381,363.0103,213.7539
3,75,822.6784,363.0103,221.41
3,76,831.9032,362.9833,229.0848
3,77,841.0836,362.3321,236.7853
3,78,852.0473,367.201,237.0849
3,79,854.5985,355.4754,237.1094
3,80,850.8174,344.0867,237.1094
3,81,847.773,332.4793,237.1094
3,82,847.0584,320.5006,237.1094
3,83,850.6842,309.0614,237.1094
3,84,860.4127,302.036,237.1094
3,85,870.3413,308.7756,237.1094
3,86,879.0307,317.0517,237.1094
3,87,891.0231,316.6235,237.1094
3,88,900.992,309.9437,237.1094
3,89,910.997,303.3179,237.1094
3,90,919.3114,311.9706,237.1094
3,91,912.9791,322.1639,237.1093
3,92,902.681,328.3241,237.1026
3,93,893.6785,336.2584,237.0565
3,94,899.1237,346.9516,236.9899
3,95,907.9745,355.0544,237.0821
3,96,918.2404,359.5743,241.346
3,97,927.6045,353.8108,246.1518
3,98,936.1743,345.4161,246.4475
3,99,944.2998,336.5858,246.497
3,100,951.7463,327.1757,246.4987
3,101,959.725,318.2124,246.4987
3,102,971.4393,315.6098,246.4987
3,103,981.6641,321.8911,246.4987
3,104,989.6561,330.8425,246.4987
3,105,994.5634,341.7932,246.4987
3,106,989.7949,352.8051,246.5069
3,107,979.084,358.2155,246.5747
3,108,967.5154,361.3962,246.7983
3,109,956.9081,365.8108,250.2618
3,110,952.4732,374.4162,257.3526
3,111,960.1054,383.6053,258.4973
3,112,955.0706,394.498,258.5047
3,113,960.9087,404.9821,258.4646
4,0,716.7411,425.6909,258.8919
4,1,728.269,422.3764,258.5422
4,2,734.6653,412.2233,258.5047
4,3,734.5435,400.2239,258.5047
4,4,731.4555,388.6281,258.5047
4,5,723.6328,379.5284,258.5047
4,6,711.6374,379.1958,258.5047
4,7,703.2807,387.8078,258.5047
4,8,694.4332,395.9146,258.5047
4,9,683.545,391.1246,256.9227
4,10,674.4361,392.1459,249.1778
4,11,663.189,388.7811,246.6916
4,12,651.612,385.6288,246.4987
4,13,640.1701,389.2457,246.4987
4,14,630.1644,395.8704,246.4987
4,15,638.2377,404.7485,246.527
4,16,648.4203,411.0942,246.7444
4,17,658.694,417.2465,247.5196
4,18,667.4803,425.0604,249.9159
4,19,671.9332,436.1925,250.4163
4,20,668.6402,447.7318,250.4163
4,21,670.7712,459.5411,250.4163
4,22,677.3058,469.6058,250.4163
4,23,689.291,470.2005,250.4163
4,24,700.4537,465.7965,250.4163
4,25,700.9089,453.8053,250.4831
4,26,691.8687,446.2038,252.6027
4,27,682.64,438.7993,254.6036
4,28,682.3537,426.8059,254.3264
4,29,683.5624,415.0407,256.3561
4,30,694.5299,418.659,259.6153
4,31,705.6234,423.2299,259.4136
5,0,392.6262,502.4799,287.1094
5,1,404.4475,504.5432,287.1094
5,2,415.6851,500.3342,287.1094
5,3,422.1853,490.2472,287.1094
5,4,423.0469,478.2781,287.1094
5,5,421.4866,466.38,287.1094
5,6,411.9892,459.0453,287.1094
5,7,400.0418,457.9232,287.1094
5,8,389.5788,463.799,287.1094
5,9,381.0861,472.2769,287.1094
5,10,370.3782,477.6935,287.0688
5,11,364.4521,477.2533,276.6435
5,12,363.2219,476.9424,264.7107
5,13,361.9922,477.4146,252.7833
5,14,360.7655,477.0673,240.8512
5,15,357.7923,473.1214,229.9155
5,16,346.2999,469.6715,229.7581
5,17,342.8928,481.1777,229.7581
5,18,344.3582,493.0878,229.7581
