path_id,index,x,y,z
11,19,748.0098,-159.3884,411.8786
11,20,737.1602,-154.7216,409.7559
11,21,725.6279,-152.3450,412.0708
11,22,725.2746,-152.2425,424.0652
11,23,732.1632,-152.2425,433.8911
11,24,742.4636,-152.2426,440.0474
11,25,754.3057,-152.6403,438.1482
11,26,762.5201,-156.8926,430.5034
11,27,774.4028,-157.4819,428.9369
11,28,772.7662,-160.7810,440.3578
11,29,767.1744,-165.2292,449.9987
11,30,777.9206,-170.1545,452.0630
11,31,789.8460,-171.3613,452.6354
11,32,797.8672,-171.3953,443.7101
11,33,799.0937,-171.3953,431.7730
11,34,792.1152,-171.3953,422.0108
11,35,784.1921,-171.3953,431.0233
11,36,785.7551,-171.3953,442.9211
11,37,779.7740,-170.0926,453.2424
11,38,768.3397,-166.9284,451.4405
11,39,763.6408,-164.2655,462.1564
11,40,768.7017,-163.4198,473.0040
11,41,779.1959,-163.3078,478.8230
11,42,791.1276,-163.3069,477.5445
11,43,802.2260,-163.3069,472.9810
12,0,1162.7231,-128.9396,478.4885
12,1,1150.7240,-128.9396,478.6339
12,2,1139.8581,-128.9396,473.5415
12,3,1130.5472,-128.9396,465.9713
12,4,1125.2092,-128.9396,455.2240
12,5,1123.8855,-128.9396,443.2972
12,6,1123.9298,-128.9396,431.2973
12,7,1124.3099,-128.9396,419.3033
12,8,1124.8121,-128.9396,407.3138
12,9,1127.6025,-128.9396,395.6428
12,10,1138.2850,-128.9396,390.1763
12,11,1149.9914,-128.9396,392.8149
12,12,1159.8228,-128.9396,399.6955
12,13,1164.6352,-128.9396,410.6882
12,14,1166.4073,-128.9396,422.5567
12,15,1168.9511,-128.9396,434.2839
12,16,1171.1428,-128.9396,446.0821
12,17,1171.4401,-128.9396,458.0784
12,18,1169.1378,-128.9396,469.8555
13,0,1289.7811,-209.3893,517.3367
13,1,1291.0095,-209.3893,529.2737
13,2,1279.1269,-209.3893,530.9481
13,3,1267.1278,-209.3893,530.8022
13,4,1255.2390,-209.3893,532.4326
13,5,1250.0822,-209.3893,521.5971
13,6,1250.4090,-209.3893,509.6016
13,7,1259.6947,-209.3893,502.0005
13,8,1271.6512,-209.3893,500.9801
13,9,1283.6137,-209.3893,501.9288
13,10,1289.0739,-209.3893,512.6145
14,0,305.4189,-109.3893,320.3540
14,1,293.8889,-109.3893,317.0284
14,2,291.0727,-109.3893,305.3635
14,3,298.5560,-109.3893,295.9826
14,4,310.3231,-109.3893,298.3358
14,5,322.2469,-109.3893,299.6854
14,6,328.1899,-109.3893,310.1104
14,7,319.3538,-109.3893,318.2298
14,8,307.5425,-109.3893,320.3492
15,0,381.8350,-92.6487,260.4083
15,1,382.0763,-92.6487,272.4058
15,2,372.7434,-92.6487,279.9488
15,3,360.7544,-92.6487,280.4634
15,4,350.7474,-92.6487,273.8407
15,5,347.1021,-92.6487,262.4078
15,6,345.4971,-92.6487,250.5156
15,7,357.0930,-92.6487,247.4274
15,8,369.0841,-92.6487,247.8887
15,9,379.1304,-92.6487,254.4516
16,0,379.4861,-121.3953,326.7490
16,1,367.5061,-121.3953,327.4411
16,2,356.5225,-121.3953,322.6077
16,3,347.2761,-121.3953,314.9590
16,4,348.8444,-121.3953,303.0619
16,5,358.0092,-121.3953,295.3155
16,6,369.9988,-121.3953,295.8150
16,7,378.8129,-121.3953,303.9582
16,8,380.9811,-121.3953,315.7607
17,0,550.4274,-39.4905,239.4543
17,1,562.1752,-39.4905,241.9014
17,2,567.7242,-39.4905,252.5414
17,3,568.5997,-39.4905,264.5094
17,4,565.2656,-39.4905,276.0370
17,5,554.3713,-39.4905,281.0681
17,6,543.0628,-39.4905,277.0533
17,7,534.3139,-39.4905,268.8401
17,8,533.7420,-39.4905,256.8537
17,9,540.4650,-39.4905,246.9139
17,10,549.9554,-39.4905,239.5700
18,0,408.0824,-171.3953,432.5703
18,1,396.2596,-171.3953,430.5157
18,2,393.4835,-171.3953,418.8412
18,3,395.3243,-171.3953,406.9832
18,4,405.8271,-171.3953,401.1788
18,5,415.5995,-171.3953,408.1429
18,6,427.3626,-171.3953,405.7700
18,7,431.2746,-171.3953,417.1144
18,8,427.7948,-171.3953,428.5988
18,9,416.4263,-171.3953,432.4406
19,0,558.0155,-50.0000,189.4662
19,1,546.6182,-50.0000,185.7111
19,2,538.2576,-50.0000,177.1030
19,3,543.8163,-50.0000,166.4681
19,4,551.8452,-50.0000,157.5497
19,5,550.0795,-50.0000,145.6803
19,6,541.6191,-50.0000,137.1702
19,7,534.4438,-50.0000,127.5517
19,8,542.7937,-50.0000,118.9331
19,9,554.7078,-50.0000,117.5005
19,10,566.6636,-50.0000,118.5298
19,11,578.3836,-50.0000,121.1070
19,12,589.6145,-50.0000,125.3338
19,13,595.4911,-50.0000,135.7964
19,14,586.7971,-50.0000,144.0677
19,15,581.8894,-50.0000,155.0183
19,16,591.9310,-50.0000,161.5884
19,17,601.1735,-50.0000,169.2419
19,18,598.6690,-50.0000,180.9776
19,19,587.7812,-50.0000,186.0229
19,20,576.0902,-50.0000,188.7287
19,21,564.1530,-50.0000,189.9550
